,000300.SH,000905.SH,CBA00651.CS,CBA04031.CS,H11062.CSI,H11063.CSI,H11064.CSI,H11065.CSI
2006-05-24,1308.242,1308.693,117.9513,,102.88,232.67,219.0,184.81
2006-05-25,1307.697,1324.919,117.8911,,102.04,229.67,228.29,182.8
2006-05-26,1331.02,1355.501,117.8062,,102.61,233.35,229.88,184.85
2006-05-29,1366.292,1387.524,117.8047,,102.59,239.94,243.79,184.78
2006-05-30,1378.756,1410.542,118.1584,,102.83,240.95,236.93,183.58
2006-05-31,1365.451,1402.332,118.1187,,101.95,231.31,237.02,183.23
2006-06-01,1402.879,1455.741,118.0335,,100.38,222.25,228.04,180.84
2006-06-02,1390.116,1457.763,117.6564,,101.38,221.89,228.71,181.28
2006-06-05,1403.163,1484.29,117.5332,,102.84,227.87,233.74,185.54
2006-06-06,1399.142,1470.449,117.4482,,102.93,220.54,228.32,182.99
2006-06-07,1320.233,1370.809,117.1475,,102.63,214.2,230.22,182.12
2006-06-08,1325.979,1376.079,117.2354,,102.16,216.77,230.09,179.17
2006-06-09,1294.185,1346.481,117.3123,,101.87,210.96,223.72,177.5
2006-06-12,1297.67,1352.582,117.336,,102.18,201.64,226.63,178.97
2006-06-13,1298.276,1361.526,117.2124,,101.54,191.14,215.87,173.47
2006-06-14,1283.88,1347.878,117.1384,,101.05,184.29,207.32,165.94
2006-06-15,1285.385,1352.336,117.2554,,100.95,190.09,200.82,170.27
2006-06-16,1318.01,1382.41,117.2916,,101.13,192.58,204.67,171.75
2006-06-19,1334.893,1397.995,116.177,,100.47,187.67,200.62,166.84
2006-06-20,1338.223,1414.905,116.9486,,100.41,188.35,201.26,168.31
2006-06-21,1333.532,1410.502,116.0988,,100.61,189.59,202.46,168.92
2006-06-22,1331.553,1411.278,116.5226,,100.63,195.8,209.77,171.32
2006-06-23,1339.446,1430.513,116.2544,,100.32,187.46,204.84,168.88
2006-06-26,1363.413,1457.137,116.3847,,99.69,187.86,204.6,169.02
2006-06-27,1363.896,1464.686,116.8398,,99.78,194.16,207.16,172.53
2006-06-28,1362.885,1461.793,116.4164,,99.44,188.94,204.82,171.7
2006-06-29,1395.124,1488.164,116.58,,99.7,189.08,205.09,171.89
2006-06-30,1393.963,1485.995,116.661,,100.3,197.23,213.81,176.17
2006-07-03,1420.328,1514.068,116.7294,,100.49,206.1,221.64,176.66
2006-07-04,1411.013,1508.839,116.606,,100.1,208.62,212.93,175.07
2006-07-05,1393.009,1497.656,116.4439,,99.75,211.42,212.47,174.7
2006-07-06,1418.675,1539.177,116.4635,,99.49,208.47,211.53,177.09
2006-07-07,1410.429,1541.253,116.466,,99.6,217.56,217.35,179.41
2006-07-10,1412.124,1550.04,116.6242,,98.56,220.68,208.74,176.06
