,factor_0,factor_1,factor_2,factor_3,factor_4
2017-07-18,0.9216260056172696,0.9293544954122974,0.9170113822199508,0.9895714664452079,0.9639829701767165
2017-07-19,0.9213341970489453,0.9287969712429196,0.9165536733840821,0.9899841885017873,0.9636810130885213
2017-07-20,0.9218260068246972,0.9295158430189869,0.9170385598774098,0.9882712796118288,0.9630130675422379
2017-07-21,0.9220536964492578,0.9292632625812648,0.9168172595538037,0.9887765392655793,0.96305629280704
2017-07-24,0.9212303271019536,0.9280632819287272,0.9157647382552265,0.9909364573065435,0.9637103575948046
2017-07-25,0.9218947038622853,0.9285967176743589,0.9162846743427309,0.9898465636683823,0.9632434135295865
2017-07-26,0.9206487286650689,0.9269138550440366,0.9147746666452616,0.9928679306271518,0.9645047977546642
2017-07-27,0.9213983478663068,0.9275729826292515,0.9154474620114468,0.9918458720152257,0.9636693317465145
2017-07-28,0.9214553468993494,0.9268640031320028,0.9147039717821213,0.9927388283660282,0.9641220918549016
2017-07-31,0.9210887714295837,0.92572026606043,0.9137841400481923,0.9941901907000421,0.9648783619541534
2017-08-01,0.9206078839339048,0.9256499854278534,0.9135505642518325,0.9935517304338382,0.9650910449145566
2017-08-02,0.9199343709984689,0.9256826652750045,0.913712986002875,0.9940558458568961,0.9665167012440361
2017-08-03,0.9197957135950503,0.9256709724715391,0.9138259574079932,0.9947983905735325,0.9656430536154097
2017-08-04,0.9193243609917717,0.9260670180289101,0.9139845532320783,0.9938213099179279,0.9637790728021403
2017-08-07,0.9203431056472011,0.9257420297612154,0.9136497743513816,0.9937333025753271,0.961057061515307
2017-08-08,0.9214287403858267,0.926024392419309,0.9136143821562468,0.9924615824605737,0.9614234863841318
2017-08-09,0.9216188381702344,0.9259095930390225,0.9135885206681897,0.9922792745928477,0.9600025481209837
2017-08-10,0.9213417228536533,0.9262497726565616,0.9138812883907101,0.9918980710512405,0.9617493179055103
2017-08-11,0.9193813365007036,0.9256607238548954,0.9135000907598999,0.9940119548125234,0.9671155310163448
2017-08-14,0.921000085175577,0.9262788802795107,0.9142146497150263,0.9928631787775837,0.9641858723218449
2017-08-15,0.920550591980314,0.9256116479957305,0.9137298468876188,0.993894929274413,0.9657538799555943
2017-08-16,0.9196584144889972,0.9245034293911595,0.9127213835889839,0.9956337522292161,0.9674205557609977
2017-08-17,0.9198635425049759,0.9245656805743775,0.9130502181865986,0.9954579650719995,0.9666805319667446
2017-08-18,0.91971355307054,0.9248149409338212,0.9132508584172817,0.9949035095822636,0.966226171987303
2017-08-21,0.9200039406214687,0.9244704610749059,0.9129433504377268,0.9949748197898678,0.9644331522632263
2017-08-22,0.9203203467778965,0.9250025820825356,0.9131612746122297,0.9934467310302154,0.963458713485627
2017-08-23,0.9196169377932502,0.92496890258445,0.9130469157136046,0.9937659694019505,0.9658109059432776
2017-08-24,0.9188106597682772,0.9244569278092596,0.9125918531551298,0.9945676975613037,0.9672896329751595
2017-08-25,0.9189352199508997,0.9244495691025605,0.912814768735984,0.9945668622008978,0.9666416595249904
2017-08-28,0.9200883105231805,0.9245316019546795,0.9128210899085913,0.9938424689362744,0.964704033195703
2017-08-29,0.9198268648958954,0.925262273342701,0.9134495186982774,0.993508282017147,0.9627475707369626
2017-08-30,0.9197383334107454,0.924775962511311,0.9131897549662517,0.9948340107250386,0.9634985748027416
2017-08-31,0.9204411469673777,0.9254069398834338,0.9137540110093502,0.9941201738531512,0.9613447666050682
2017-09-01,0.9206853417079656,0.9252254702410034,0.9135800836321245,0.9937647770729019,0.9592512138910184
2017-09-04,0.9212658967643798,0.9266895650144824,0.9149849704246864,0.9883632068139759,0.9526532064355961
2017-09-05,0.9214530782359064,0.9263416762684376,0.9145612179501248,0.9880412261848486,0.9518577685203858
2017-09-06,0.9216203780254555,0.9253358322626372,0.9136289761093335,0.9903760826481052,0.956134048479595
2017-09-07,0.921166981092271,0.92561040905986,0.9138992960911235,0.9912304593789999,0.9595547626003863
2017-09-08,0.9200650326304637,0.9242520876691654,0.9128793270688088,0.9965567877495589,0.9653533910627458
2017-09-11,0.9197209417651864,0.9233328810302357,0.9123079874791972,0.9975548386049123,0.9670479491195193
2017-09-12,0.919399083980972,0.9229394237447001,0.9118172186775677,0.9980749958987272,0.9672339210907672
2017-09-13,0.9189719414697963,0.9225290758661533,0.9117196321519623,0.9995192343482789,0.9677144754569792
2017-09-14,0.9192809893698978,0.9231872034446195,0.91233464146913,0.997503214444255,0.969941797822156
2017-09-15,0.9190954488264315,0.9245787555649639,0.9136951303430576,0.9945156179556718,0.9672001021607507
2017-09-18,0.9183315842275249,0.924964913316189,0.9144745373766374,0.9937408496237222,0.9631687617151757
2017-09-19,0.9182008005652824,0.9247785038993825,0.914252405904781,0.994731788479269,0.9655130174832773
2017-09-20,0.9179345993160439,0.924356559133798,0.9140306827586441,0.9952073618983651,0.9647957655783419
2017-09-21,0.9186263240195729,0.9253559285269068,0.9147305270541353,0.9923734291223858,0.9635389339488999
2017-09-22,0.9194490588256827,0.9259017576439004,0.9148563216565828,0.9895482634406315,0.9642017751497352
2017-09-25,0.9187563252980914,0.9268730639851641,0.9156806930665803,0.9883278345512561,0.9622592382804356
2017-09-26,0.9184116802986206,0.9269323422508083,0.9159279558210088,0.9882854965606122,0.9600222581279667
2017-09-27,0.9178342121894568,0.9265162936119258,0.9158733165123301,0.9900938902718385,0.95966693291591
2017-09-28,0.9167254205771803,0.9270882633269918,0.9169054524044036,0.9920812282184552,0.961007178666228
2017-09-29,0.9159664054245951,0.9268310521748924,0.916903294477617,0.99340849486705,0.9604771640590405
2017-10-09,0.9148904983011666,0.9278902412605347,0.9184080975234361,0.9898617281539548,0.9542565527714547
2017-10-10,0.91539869129281,0.9279432746730356,0.9184412294128212,0.989002719861949,0.9535687137338864
2017-10-11,0.9151412547324486,0.9280740427262922,0.9185154383506531,0.9885570940649889,0.9539997877921376
2017-10-12,0.9151872939987294,0.927775481526056,0.9181464405596972,0.9885301856272911,0.9540508317674411
2017-10-13,0.9160445659183435,0.9278048213174829,0.9181611825648008,0.987654597800988,0.9540586336786224
2017-10-16,0.9163928775270989,0.9276077585028876,0.9175086963911747,0.985986520200437,0.9521142830670267
2017-10-17,0.9173721093915521,0.9269705606176817,0.916628331283479,0.9857560915293911,0.9512634313513095
2017-10-18,0.9167644643874431,0.927598135903125,0.9171816903375015,0.9848726232844992,0.9504968301428854
2017-10-19,0.9162373363324683,0.9282579353562306,0.9177053272463227,0.9833550362842535,0.9484670291100015
2017-10-20,0.9158875378951017,0.9278550229230172,0.9175204854294579,0.9847749195691425,0.9484083147122232
2017-10-23,0.9163727741090956,0.9275330855432835,0.9172464241892957,0.9845118969415783,0.9484520379120932
2017-10-24,0.9164285473313469,0.9282184691005224,0.917804777490405,0.9828155483804606,0.9463246328032042
2017-10-25,0.9183843676730306,0.9261857889039027,0.9156442374653377,0.9838620863258376,0.9500003675415356
2017-10-26,0.9179347412427968,0.926252903403589,0.9158919681967581,0.9846218655306972,0.950750256666599
2017-10-27,0.9184610117465698,0.9249873038340326,0.9145212538865994,0.9861550175404973,0.9543629427911539
2017-10-30,0.9201897469403744,0.9235379134796957,0.9123419861247571,0.9856717141003054,0.9542584190784943
2017-10-31,0.9200897585401697,0.9241511924544068,0.9130684159734057,0.9855883748742366,0.9522974514321157
2017-11-01,0.9193973745859358,0.9250643566854836,0.9140771523935838,0.9851485534910911,0.9513644929526766
2017-11-02,0.919027048774019,0.9252157520579403,0.9139331581387172,0.9845879779091792,0.9533405635100596
2017-11-03,0.91903038352968,0.9254383810631356,0.9139020789393398,0.9834257637747512,0.9518846865307933
2017-11-06,0.9187137167823497,0.925410704091728,0.9142976985499787,0.9843845987309612,0.9512670793074193
2017-11-07,0.9192397569496381,0.9248575744772949,0.9134955182146743,0.9852242288969443,0.9551274767114929
2017-11-08,0.9196826214598935,0.9246259953300794,0.9130623442571982,0.9860470754707386,0.9587401274968681
2017-11-09,0.9206958717722066,0.9245830474211546,0.9127937766294643,0.9859980123498873,0.9586845348208638
2017-11-10,0.9197405328540991,0.9240759039715273,0.9127834053515347,0.9870042944737515,0.9583540782611231
2017-11-13,0.9202784814431056,0.9234571557254286,0.911798245217678,0.9855866975067752,0.9535743921461719
2017-11-14,0.9202065361736447,0.9236071389473889,0.9117040358736431,0.986221744416974,0.9564182287660558
2017-11-15,0.9206949244479654,0.9240192351173651,0.9119036186195386,0.986029022266656,0.957312043175049
2017-11-16,0.9210305247657865,0.9247884885525657,0.9129210737943396,0.9868191745842584,0.9589057787657118
2017-11-17,0.9198153241036562,0.9257023283081374,0.913703087315049,0.9853289551596717,0.9585306997286177
2017-11-20,0.9198578991038422,0.9248285406060853,0.9127569857411193,0.9865674059527733,0.9622080418386207
2017-11-21,0.9201167049568085,0.9251029430549497,0.913168529217529,0.9876631132440469,0.9640920418633173
2017-11-22,0.9197041927921031,0.9242078019338557,0.9120056629825573,0.9894044933771812,0.9687661891276594
2017-11-23,0.9196093789005949,0.9252520590799316,0.9125051403200009,0.9878876791170933,0.9670908919009047
2017-11-24,0.9201761028365382,0.926302563375152,0.9135895778870196,0.989055843813173,0.9698710236130391
2017-11-27,0.9194265386420133,0.9257836290560333,0.9128865400754338,0.9890522971957815,0.9734293129896142
2017-11-28,0.9200096520820866,0.9252232711752408,0.9124165088835375,0.9903564727292063,0.9751135111749565
2017-11-29,0.9207992827242112,0.9267922137144594,0.9142897932896885,0.9910232841842468,0.9727572300420124
2017-11-30,0.9198768568208514,0.926380061235378,0.9138151408428202,0.9925079608821487,0.9804608220201727
2017-12-01,0.9203057409798993,0.9263724128988644,0.9137639539893295,0.992372615898059,0.9783788195984056
2017-12-04,0.9211499664702887,0.9272957600379341,0.9141751396940163,0.9911002462991115,0.9738740165015671
2017-12-05,0.9213878962170169,0.927838766226391,0.9151076588541974,0.9902854141352397,0.9737255386361391
2017-12-06,0.9213068376952515,0.9272780125874267,0.9141844828505781,0.989097363829052,0.977646194956158
2017-12-07,0.9212898013987544,0.9274148388774476,0.9139475195972028,0.9896053518767871,0.9761307731303744
2017-12-08,0.9204322302612563,0.9266162543094978,0.9138053996261596,0.989223990868788,0.9763698342416588
2017-12-11,0.9187118591956975,0.9253416743470771,0.9143654886124707,0.9879461041993609,0.9774695682334203
2017-12-12,0.91920814433714,0.9253679037943748,0.9128965917111086,0.9894484017902389,0.9762451577912128
2017-12-13,0.91889118547314,0.9254865669289108,0.9139989848411271,0.989173456064081,0.9757787860789398
2017-12-14,0.919388929718318,0.9262589639421321,0.9144794538675426,0.9910584482854656,0.9743678805200067
2017-12-15,0.919582765748928,0.9261850026963022,0.9134742527597054,0.9929282992503036,0.9758733284726144
2017-12-18,0.9193510787082478,0.9257667208485592,0.9128604127083133,0.9927941376621089,0.9768473890902335
